
 migrando datos... 

 INICIANDO EL PROCESO. PROCESANDO...
------------------------------;Legajo;Cargo;FechaCategoria;IdCategoria
NO se encontro empleado legajo;900735;1;2021-04-01;156
NO se encontro empleado legajo;900735;1;2021-04-01;226
NO se encontro empleado legajo;900736;1;2021-04-01;156
NO se encontro empleado legajo;900736;1;2021-04-01;226
NO se encontro empleado legajo;900739;1;2021-04-01;156
NO se encontro empleado legajo;900739;1;2021-04-01;226
NO se encontro empleado legajo;900743;1;2021-04-01;156
NO se encontro empleado legajo;900743;1;2021-04-01;226
NO se encontro empleado legajo;900745;1;2021-04-01;156
NO se encontro empleado legajo;900745;1;2021-04-01;226
NO se encontro empleado legajo;900747;1;2021-04-01;156
NO se encontro empleado legajo;900747;1;2021-04-01;226
NO se encontro empleado legajo;900756;1;2021-04-01;156
NO se encontro empleado legajo;900756;1;2021-04-01;226
NO se encontro empleado legajo;900758;1;2021-05-01;156
NO se encontro empleado legajo;900758;1;2021-05-01;226
NO se encontro empleado legajo;900760;1;2021-06-01;156
NO se encontro empleado legajo;900760;1;2021-06-01;226
NO se encontro empleado legajo;900762;1;2021-06-01;156
NO se encontro empleado legajo;900762;1;2021-06-01;226
NO se encontro empleado legajo;900763;1;2021-06-01;156
NO se encontro empleado legajo;900763;1;2021-06-01;226
NO se encontro empleado legajo;900764;1;2021-06-01;156
NO se encontro empleado legajo;900764;1;2021-06-01;226
NO se encontro empleado legajo;900766;1;2021-06-01;156
NO se encontro empleado legajo;900766;1;2021-06-01;226
NO se encontro empleado legajo;900770;1;2021-06-01;156
NO se encontro empleado legajo;900770;1;2021-06-01;226
NO se encontro empleado legajo;900771;1;2021-06-01;156
NO se encontro empleado legajo;900771;1;2021-06-01;226
NO se encontro empleado legajo;900772;1;2021-06-01;156
NO se encontro empleado legajo;900772;1;2021-06-01;226
NO se encontro empleado legajo;900774;1;2021-06-01;156
NO se encontro empleado legajo;900774;1;2021-06-01;226
NO se encontro empleado legajo;900776;1;2021-06-01;156
NO se encontro empleado legajo;900776;1;2021-06-01;226
NO se encontro empleado legajo;900779;1;2021-06-01;156
NO se encontro empleado legajo;900779;1;2021-06-01;226
NO se encontro empleado legajo;900783;1;2021-06-01;156
NO se encontro empleado legajo;900783;1;2021-06-01;226
NO se encontro empleado legajo;900794;1;2021-07-01;156
NO se encontro empleado legajo;900794;1;2021-07-01;226
NO se encontro empleado legajo;900807;1;2021-08-01;156
NO se encontro empleado legajo;900807;1;2021-08-01;226
NO se encontro empleado legajo;900808;1;2021-08-01;156
NO se encontro empleado legajo;900808;1;2021-08-01;226
NO se encontro empleado legajo;900809;1;2021-08-01;156
NO se encontro empleado legajo;900809;1;2021-08-01;226
NO se encontro empleado legajo;900810;1;2021-08-01;156
NO se encontro empleado legajo;900810;1;2021-08-01;226
NO se encontro empleado legajo;900812;1;2021-08-01;156
NO se encontro empleado legajo;900812;1;2021-08-01;226
NO se encontro empleado legajo;900813;1;2021-08-01;156
NO se encontro empleado legajo;900813;1;2021-08-01;226
